artigoEmPeriodico	Carla Daruich de Souza	2024	2075-4418	http://dx.doi.org/10.3390/diagnostics14040441	Radioactive seed localization for nonpalpable breast lesions: systematic review and meta-analysis	Diagnostics	FERREIRA, H. ; Daruich de Souza, Carla ; POZZO, L. ; RIBEIRO, M. S. ; ROSTELATO, M. E. C. M.	B3	
artigoEmPeriodico	Carla Daruich de Souza	2024	1999-4923	http://dx.doi.org/10.3390/pharmaceutics16020255	Review of Advances in Coating and Functionalization of Gold Nanoparticles: From Theory to Biomedical Application	PHARMACEUTICS	ROSERO, W. A. A. ; BARBEZAN, A. B. ; Daruich de Souza, Carla ; ROSTELATO, MARIA ELISA C. M.	A1	
artigoEmPeriodico	Carla Daruich de Souza	2024	0969-806X	http://dx.doi.org/10.1016/j.radphyschem.2024.112000	Investigation for Monte Carlo simulation with geometric simplification of the GammaCell 220 irradiator with experimental measurements using Fricke xylenol gel (FXG)	RADIATION PHYSICS AND CHEMISTRY	RODRIGUES, P.S. ; BURIN, A.L. ; TALACIMON, C.F. ; MEDEIROS, I.M.M.A. ; PEREIRA, J.J.N. ; TEODORO, L.E.H. ; RIGO, M.E.Z. ; GESSERAME, M.M.F. ; TAVARES, P.V.S. ; MARTINS, A.C. ; SOUZA, C.D. ; ZEITUNI, C.A. ; RODRIGUES, O. ; ROSTELATO, M.E.C.M.	A1	
artigoEmPeriodico	Carla Daruich de Souza	2024	2057-1976	http://dx.doi.org/10.1088/2057-1976/ad8acc	In silico dosimetry for a prostate cancer treatment using 198Au nanoparticles                            Au nanoparticles	BIOMEDICAL PHYSICS & ENGINEERING EXPRESS	ANGELOCCI, LUCAS VERDI ; SGRIGNOLI, SABRINA SPIGAROLI ; DE SOUZA, CARLA DARUICH ; ANTUNES, PAULA CRISTINA GUIMARÃES ; ROSTELATO, MARIA ELISA CHUERY MARTINS ; ZEITUNI, CARLOS ALBERTO	A4	
artigoEmPeriodico	Carla Daruich de Souza	2024	2319-0612	http://dx.doi.org/10.15392/2319-0612.2024.2543	A dosimetric evaluation using the Monte Carlo method considering geometric variations of the Iodine-125 seed for brachytherapy	BRAZILIAN JOURNAL OF RADIATION SCIENCES	CHICO, H. S. ; ANGELOCCI, L. V. ; ZEITUNI, C.A. ; Carla D. Souza, ; SGRIGNOLI, S. S. ; ROSTELATO, MARIA ELISA C. M.	B1	
artigoEmPeriodico	Carla Daruich de Souza	2023	1546-0843	http://dx.doi.org/10.1016/j.jradnu.2023.04.001	Educational Booklet for Patients and Health Care Professionals in the Field With Focus on Ensuring the Completeness of Radiation Therapy Treatment	Journal of Radiology Nursing	MACEDO TRICARICO, JULIANA DE ; RICO FREITAS, GUSTAVO ; SANCHEZ MUNOZ, BERGMAN NELSON ; OBERTO RODRIGUES, GUILHERME ; SIMÕES DOS SANTOS, JADE ; Daruich de Souza, Carla	Qualis nao identificado	JOURNAL OF RADIOLOGY NURSING
artigoEmPeriodico	Carla Daruich de Souza	2022	2079-4991	http://dx.doi.org/10.3390/nano12020187	Synthesis, In Vitro Testing, and Biodistribution of Surfactant-Free Radioactive Nanoparticles for Cancer Treatment	Nanomaterials	Daruich de Souza, Carla; BARBEZAN, A. B. ; ROSERO, W. A. A. ; SANTOS, S. N. ; CARVALHO, D. V. S. ; ZEITUNI, C.A. ; BERNARDES, E. S. ; VIEIRA, D. P. ; SPENCER, P. J. ; RIBEIRO, M. S. ; ROSTELATO, MARIA ELISA CHUERY MARTINS	A3	
artigoEmPeriodico	Carla Daruich de Souza	2022	2319-0612	http://dx.doi.org/10.15392/bjrs.v10i2.2015	How does radioisotope thermoelectric generator (RTG) work	BRAZILIAN JOURNAL OF RADIATION SCIENCES	SOUZA, CARLA DARUICH DE; KIM, J. B. ; KIM, J. J. ; KIM, J. ; JI, W. ; SON, K. J. ; CHOI, S. M. ; KANG, G. J. ; HONG, J. T.	B1	
artigoEmPeriodico	Carla Daruich de Souza	2022	1939-8654	http://dx.doi.org/10.1016/j.jmir.2022.05.012	Protocol for reducing radiation exposure during pediatric thoracic radiography	Journal Of Medical Imaging And Radiation Sciences	Daruich de Souza, Carla; FREITAS, G. R. ; MEDEIROS, R. F. ; RAMALHO, E. ; RODRIGUES, S. C. ; RODRIGUES, G. O.	Qualis nao identificado	JOURNAL OF MEDICAL IMAGING AND RADIATION SCIENCES
artigoEmPeriodico	Carla Daruich de Souza	2022	2319-0612	http://dx.doi.org/10.15392/bjrs.v10i3.2072	Evaluation of a Direct Ion Storage dosimeter efficiency to measure dose during interventional cardiology procedures	BRAZILIAN JOURNAL OF RADIATION SCIENCES	MUNOZ, B. N. ; Daruich de Souza, Carla ; PIRES, S. R. ; BARBOSA, A. H. P. ; MEDEIROS, R. B.	B1	
